SOCIETE GOLDEN AFRICA RESSOURCES SPRL,GAR,INLAND GLOBAL Inc.,55.00%,N/C
JMT,JMT,,,WU LIJUE (99 parts)
FEZA MINING,FEZA,WANBAO RESOURCE,51.00%,N/C
FEZA MINING,FEZA,WANBAO REXCO,49.00%,N/A
BOLFAST,,BOKONDA BALELA FAUSTIN,100.00%,BOKONDA BALELA FAUSTIN à 100%. Mr Fausitin est député depuis l'année 2011.
EXPLOITATIONS ARTISANALES DU CONGO,EXACO,DALEVILLE HOLDINGS LTD,64.00%,DALEVILLE HOLDING LTD SA est incrite à Gibraltar. L'information sur les propriétaires réels n'a pas été disponible.
EXPLOITATIONS ARTISANALES DU CONGO,EXACO,KASONGO BIN MULONDA,6.00%,KASONGO BIN MULONDA à 6%
EXPLOITATIONS ARTISANALES DU CONGO,EXACO,KYUNGU WA KABILA,15.00%,KYUNGU WA KABILA à 15%
EXPLOITATIONS ARTISANALES DU CONGO,EXACO,KASONGO ILUNGA,5.00%,KASONGO ILUNGA à 5%
EXPLOITATIONS ARTISANALES DU CONGO,EXACO,MALAKERA CIRIMWINGOMA,10.00%,MALAKERA CIRIMWINGOMA à 10%
COMPANY MINIERE DE DILALA SPRL,CMD,ISMAIL AL FARRAN,75.00%,ISMAIL AL FARRAN (75%)
COMPANY MINIERE DE DILALA SPRL,CMD,OLIVIER KATWETEBA,25.00%,OLIVIER KATWETEBA (25%)
CONGO JINJUN CHENG MINING COMPAGNY,,CJCMC,100.00%,N/C
SOCIETE MATTADORE SPRL,,,,Société en liquidation
KANSUKI MINING SPRL,KANSUKI,KANSUKI INVESTMENTS SPRL,75.00%,"Au 31 décembre 2012, la propriété indirecte totale du Groupe Fleurette dans Kanuski est de 62,5%. Le Goupe Fleurette est détenu par un trust au bénéfice de la famille de Dan Gertler."
KANSUKI MINING SPRL,KANSUKI,BIKO INVEST CORP,25.00%,N/A
COMPAGNIE MINIERE DE LUISHA,COMILU,ZONGWE KILUBA,28.00%,N/A
COMPAGNIE MINIERE DE LUISHA,COMILU,CREC,72.00%,N/C
KIBALI GOLD MINES,KIBALI,SOKIMO,10.00%,N/A
KIBALI GOLD MINES,KIBALI,RAND GOLD,45.00%,N/A
KIBALI GOLD MINES,KIBALI,ANGLO GOLD,45.00%,N/A
LA CONGOLAISE DES MINES ET DE DEVELOPPEMENT SPRL,COMIDE,SIMPLEX HOLDING SPRL,95.00%,N/C
LA CONGOLAISE DES MINES ET DE DEVELOPPEMENT SPRL,COMIDE,ENRC CONGO BV,5.00%,N/A
LA MINIERE DE KALUMBWE MYUNGA,MKM,MONSIEUR SUKADI DIABOD,17.50%,SUKUDI DIABOD (19.8%)
LA MINIERE DE KALUMBWE MYUNGA,MKM,LUNA MINING SPRL,11.50%,N/A
LA MINIERE DE KALUMBWE MYUNGA,MKM,CHINA RAILWAY RESSOUCES UNIVERSAL LIMITES,71.00%,MAO DEBAO et LIXIN represantants de la firme CHINE RAILWAY RESOURCES UNIVERSAL Limited (80.2%)
ENTREPRISE GENERALE MALTA FOREST,EGMF,,,N/C
AFRICAN MINERALS BARBADOS (KAMOA Copper SA),AMBL,ETAT CONGOLAIS,5.00%,N/A
AFRICAN MINERALS BARBADOS (KAMOA Copper SA),AMBL,KAMOA HOLDING LTD,94.00%,N/C
AFRICAN MINERALS BARBADOS (KAMOA Copper SA),AMBL,IVANHOE MINES BARBABOS LTD,1.00%,N/A
ASHANTI GOLDFIELDS KILO SARL,AGK,Sokimo,14.00%,N/A
ASHANTI GOLDFIELDS KILO SARL,AGK,Ashanti Goldfields,86.00%,N/C
LA MINIERE DE KASOMBO,MIKAS,GECAMINES,28.00%,N/A
LA MINIERE DE KASOMBO,MIKAS,"ZHE JIANG HUA YOU
COBALT Co,Ltd,en",72.00%,N/C
KINSENDA COPPER COMPANY (KICC - EX-MMK),KICC,SODIMICO,23.00%,N/A
KINSENDA COPPER COMPANY (KICC - EX-MMK),KICC,CRC/Metorex,77.00%,N/C
LONG FEI MINING (INCL. AMODIATION KIMPE N-S),LONG FEI,LONG FEI MINING,100.00%,ZHENG ZHENG (99%)
"SOCIETE D’EXPLOITATION DES GISEMENTS DE
KALUNKUNDI",SWANMINE S,GECAMINES,25.00%,N/A
"SOCIETE D’EXPLOITATION DES GISEMENTS DE
KALUNKUNDI",,AFRICO DRC SPRL,75.00%,N/C
SOCIETE MINIERE DE MOKU - BEVEREND,SMB,SOKIMO,35.00%,N/A
